,Unnamed: 0,ativos, v_firma , v_mercado ,  n_acao , div_yield , p_l , roic , lucro_2019 , lucro_2022 , caixa_2019 , caixa_2022 ,  valor_precovid
0,0,AMER3,902.530.000,13.098.500.000,902.530.000,"0,0%",21.04,"3,6%",-397.427.000,543.795.000,2.459.795.000,4.257.657.000,65.77
1,1,SLED4,9.249.600,77.723.600,9.635.000,"0,0%",0.08,"-143,9%",-318.048.000,115.763.000,23.936.000,12.000,60.9
2,2,IRBR3,1.829.530.000,-,82.263.000,"0,0%",-2.9,-,1.210.120.000,-630.341.000,8.078.000,6.119.000,759.32
3,3,AMAR3,219.420.000,1.681.040.000,342.843.000,"0,0%",-0.56,"6,0%",24.363.000,-71.754.000,49.443.000,17.818.000,12.56
4,4,SLED3,69.564.700,138.039.000,9.635.000,"0,0%",0.6,"-143,9%",-318.048.000,115.763.000,23.936.000,12.000,120.75
5,5,CVCB3,862.238.000,944.015.000,277.247.000,"0,0%",-1.99,"-3,6%",-3.904.000,-433.441.000,470.888.000,382.304.000,32.89
6,6,SGPS3,56.000.000,857.743.000,50.000.000,"0,0%",-0.12,"-5,0%",111.568.000,-153.576.000,117.000,65.000,11.6
7,7,JFEN3,59.966.800,658.095.000,21.041.000,"0,0%",-0.49,"-5,6%",-374.183.000,-123.289.000,2.455.000,1.692.000,33.5
8,8,HBOR3,273.056.000,1.753.540.000,133.851.000,"8,9%",5.35,"1,3%",-104.194.000,51.053.000,9.007.000,21.538.000,18.85
9,9,LIGT3,909.035.000,9.514.170.000,372.555.000,"10,4%",-0.16,"-7,4%",1.327.803.000,-5.672.203.000,321.000,2.693.000,21.5
10,10,QUAL3,1.045.170.000,2.592.610.000,284.014.000,"6,9%",11.26,"16,7%",372.177.000,92.818.000,173.979.000,90.304.000,40.4
11,11,GFSA3,306.329.000,1.835.990.000,51.140.000,"0,0%",-3.68,"-0,4%",-13.742.000,-83.174.000,222.000,0,67.01
12,12,0,0,0,0,0,0.0,0,0,0,0,0,0.0
13,13,SEER3,418.346.000,943.270.000,128.722.000,"0,0%",-1.88,"5,9%",136.372.000,-222.148.000,27.508.000,49.411.000,30.2
14,14,DASA3,4.152.890.000,12.536.800.000,555.942.000,"1,3%",-10.73,"4,2%",124.777.000,-386.924.000,36.877.000,237.856.000,66.11
15,15,TCSA3,204.661.000,652.219.000,73.619.000,"0,0%",195.85,"-4,7%",-257.919.000,1.045.000,102.109.000,88.410.000,18.2
16,16,AZUL4,4.186.560.000,26.737.500.000,348.010.000,"0,0%",-5.8,"11,0%",-2.403.086.000,-722.367.000,289.556.000,8.117.000,56.82
17,17,RCSL4,23.505.400,21.950.400,37.912.000,"0,0%",-1.83,"0,2%",-3.497.000,-12.844.000,392.000,1.553.000,3.92
18,18,CTSA4,27.268.500,155.458.000,27.825.000,"24,4%",-0.79,"-1,6%",71.788.000,27.107.000,33.295.000,36.906.000,10.45
19,19,OIBR3,706.525.000,19.071.900.000,660.304.000,"0,0%",-0.21,"-11,2%",24.591.140.000,-8.516.185.000,769.582.000,2.931.676.000,9.4
20,20,TEND3,499.808.000,1.307.360.000,104.344.000,"0,0%",-0.91,"-5,3%",263.544.000,-547.304.000,15.427.000,32.080.000,35.28
21,21,CTNM4,36.763.200,1.112.870.000,30.636.000,"0,0%",-0.12,"-4,0%",147.003.000,-81.861.000,415.000,393.000,9.8
22,22,GOLL4,2.796.600.000,14.208.300.000,418.653.000,"0,0%",-1.79,"2,8%",-117.273.000,-1.561.473.000,10.247.000,179.000,34.16
23,23,GUAR3,2.146.560.000,3.809.970.000,499.200.000,"1,9%",41.3,"2,3%",592.651.000,51.980.000,732.000,345.000,27.14
24,24,SYNE3,486.934.000,1.176.270.000,152.644.000,"16,4%",-8.54,"3,8%",32.810.000,-57.001.000,49.874.000,20.411.000,24.4
25,25,SBFG3,2.021.850.000,4.095.270.000,243.596.000,"1,4%",9.86,"6,2%",310.171.000,205.017.000,112.000,34.515.000,47.99
26,26,CTSA3,41.737.500,169.926.000,27.825.000,"14,5%",-1.21,"-1,6%",71.788.000,27.107.000,33.295.000,36.906.000,10.86
27,27,COGN3,3.509.250.000,9.584.740.000,1.876.610.000,"0,0%",-6.63,"4,2%",235.244.000,-528.930.000,595.366.000,19.000,11.09
28,28,VIVR3,93.913.600,326.072.000,234.784.000,"0,0%",-7.04,"-2,8%",-197.216.000,-57.531.000,7.000,3.000,2.34
29,29,0,0,0,0,0,0.0,0,0,0,0,0,0.0
30,30,PMAM3,146.706.000,3.315.190.000,43.404.000,"0,0%",-0.05,"-38,1%",-25.075.000,-2.701.084.000,15.995.000,2.447.000,23.6
31,31,TRIS3,571.051.000,1.164.810.000,186.618.000,"7,2%",8.41,"4,2%",140.080.000,67.913.000,120.415.000,170.972.000,14.99
32,32,LPSB3,230.185.000,174.767.000,147.555.000,"4,8%",19.24,"8,1%",-4.282.000,11.961.000,250.000,35.000,8.22
33,33,BRFS3,6.722.160.000,21.689.900.000,1.082.470.000,"0,0%",-2.12,"1,2%",297.612.000,-3.166.403.000,4.648.258.000,3.984.071.000,30.84
34,34,BMGB4,1.201.460.000,-,583.232.000,"17,7%",5.31,-,367.488.000,226.151.000,--,--,9.19
35,35,MGLU3,22.338.900.000,26.723.400.000,6.748.930.000,"0,0%",-44.77,"4,6%",921.828.000,-498.975.000,579.533.000,808.764.000,13.1
36,36,OIBR4,1.710.190.000,20.075.600.000,660.304.000,"0,0%",-0.5,"-11,2%",24.591.140.000,-8.516.185.000,769.582.000,2.931.676.000,13.0
37,37,MEAL3,555.558.000,846.736.000,286.370.000,"0,0%",-6.06,"-1,5%",-15.842.000,72.669.000,78.284.000,126.016.000,8.35
38,38,ECOR3,3.607.010.000,13.753.600.000,696.334.000,"0,1%",14.68,"9,9%",-185.460.000,245.695.000,4.813.000,5.751.000,16.76
39,39,HAPV3,18.717.900.000,25.836.000.000,7.144.260.000,"0,0%",-24.13,"-1,0%",849.825.000,-777.234.000,105.591.000,3.242.000,11.15
40,40,EZTC3,2.691.650.000,2.450.500.000,220.989.000,"2,9%",8.29,"3,3%",281.083.000,324.707.000,2.481.000,8.017.000,49.41
41,41,SCAR3,858.549.000,2.606.380.000,57.737.000,"1,0%",-10.7,"4,5%",86.352.000,-80.236.000,524.000,5.605.000,52.88
42,42,GSHP3,30.108.100,1.705.560.000,1.928.770,"0,0%",-0.35,"3,9%",-34.312.000,-86.772.000,27.000,26.000,60.5
43,43,ANIM3,1.013.710.000,5.219.940.000,403.869.000,"0,0%",-9.91,"6,8%",-9.593.000,-102.250.000,4.851.000,201.240.000,11.98
44,44,FRTA3,4.600.080,66.251.100,2.053.610,"0,0%",-0.88,"-23,0%",597.000,-5.200.000,23.000,3.000,8.01
45,45,BIOM3,309.707.000,377.431.000,81.288.000,"0,0%",-3.35,"-27,7%",-55.812.000,-92.559.000,69.667.000,75.703.000,15.5
46,46,EVEN3,934.920.000,743.369.000,212.000.000,"3,4%",8.96,"3,6%",119.191.000,104.384.000,11.268.000,1.693.000,15.8
47,47,ALPA4,5.566.960.000,6.194.690.000,683.062.000,"0,0%",45.83,"7,5%",274.105.000,121.462.000,1.626.022.000,597.442.000,33.0
48,48,MRVE3,3.086.540.000,9.781.970.000,483.784.000,"6,2%",-15.24,"0,2%",690.245.000,-202.520.000,342.522.000,145.593.000,19.8
49,49,CTNM3,117.949.000,1.194.060.000,30.636.000,"0,0%",-0.39,"-4,0%",147.003.000,-81.861.000,415.000,393.000,14.59
50,50,TELB4,1.032.280.000,10.780.900,86.383.000,"0,0%",-8.08,"-10,5%",-237.526.000,-127.712.000,276.462.000,352.611.000,27.21
51,51,MOVI3,2.931.020.000,13.827.500.000,362.302.000,"16,1%",5.27,"15,5%",227.815.000,556.406.000,30.703.000,7.617.000,20.11
52,52,GPIV33,180.598.000,-281.665.000,79.209.500,"0,0%",-0.28,"-36,1%",0,0,0,0,6.57
53,53,ALPA3,5.983.620.000,6.611.360.000,683.062.000,"0,0%",49.26,"7,5%",274.105.000,121.462.000,1.626.022.000,597.442.000,29.35
54,54,NTCO3,18.257.600.000,25.853.800.000,1.383.150.000,"1,0%",-6.38,"2,2%",-147.592.000,-2.859.629.000,4.658.000,5.566.000,44.98
55,55,LREN3,15.960.700.000,14.862.600.000,963.227.000,"4,4%",12.36,"18,1%",1.086.201.000,1.291.704.000,5.130.584.000,2.640.732.000,54.53
56,56,ALSO3,10.101.300.000,7.539.170.000,573.937.000,"1,0%",64.8,"6,0%",22.027.000,155.875.000,7.614.000,8.429.000,49.88
57,57,RSID3,58.000.000,658.774.000,20.000.000,"0,0%",-0.27,"-9,1%",-311.109.000,-426.506.000,314.000,363.000,8.8
58,58,RPMG3,109.661.000,109.648.000,67.692.000,"0,0%",-0.12,"-17,8%",-177.071.000,-361.756.000,13.000,13.000,4.71
59,59,CRDE3,36.330.000,28.042.000,2.422.000,"0,0%",4.84,"-9,0%",-9.341.000,-7.507.000,22.000,53.000,41.97
60,60,CEDO4,36.000.000,276.451.000,10.000.000,"0,0%",-2.01,"11,0%",-17.553.000,-17.950.000,1.306.000,12.643.000,8.31
61,61,HOOT4,20.576.600,11.717.600,18.372.000,"0,0%",0.1,"-1,6%",-136.631.000,197.694.000,7.424.000,9.864.000,3.0
62,62,HETA4,2.004.300,326.585.000,510.000,"0,0%",0.01,"20,9%",3.436.000,203.660.000,0,1.000,10.98
63,63,HAGA4,12.138.000,-5.302.850,11.900.000,"0,0%",2.19,"-12,2%",2.504.245,5.545.845,20.749,3.594,2.33
64,64,RNEW3,419.133.000,1.351.930.000,249.484.000,"0,0%",0.54,"-1,2%",-1.014.058.000,777.120.000,3.717.000,249.000,5.0
65,65,TCNO3,7.944.000,41.766.000,6.620.000,"0,0%",-6.81,"-1,6%",-1.175.000,-634,7.000,7.000,2.99
66,66,BRPR3,2.721.390.000,2.431.990.000,11.611.000,"42,9%",-1.79,"3,6%",311.352.000,-1.523.240.000,836.515.000,280.777.000,592.0
